Id,Predicted
0,3361.9089477172797
1,2622.3851103114257
2,3559.88541940363
3,2022.155471323402
4,2636.3152914414222
5,2038.9707222667562
6,2197.1954848079545
7,3521.717976306942
8,2686.1946400809506
9,4057.0777047846605
10,2154.8894551059625
11,2805.3189315658847
12,2835.021765242999
13,2594.7197972173053
14,2260.913728076637
15,2577.892593181597
16,2013.476834425127
17,2688.2657776688875
18,2340.332129849474
19,2862.3384160356723
20,1859.150484808119
21,2925.83034010298
22,2313.678950634853
23,2968.0832592648135
24,2970.390560126033
25,1983.3079956741633
26,2454.6827565118333
27,2525.857218974485
28,2286.6587915246655
29,3153.811512989448
30,3181.46046638663
31,2469.4975323916415
32,2315.7438837225254
33,2425.116361587842
34,1922.6033290973319
35,2127.186685564901
36,1505.2253144091212
37,2613.628906619342
38,2846.932977192662
39,3064.017851740597
40,1973.3761164183895
41,3059.674433519498
42,3078.9743415941048
43,2866.3679016948104
44,1807.685919142826
45,3294.8284719453586
46,2325.713989518834
47,2314.1066357303544
48,2084.871292294017
49,1884.3756055651043
50,1881.3452387255134
51,2906.033644049303
52,2398.3130378942005
53,1723.3896095820319
54,1889.781391401704
55,3456.6497994280066
56,2773.752358337249
57,3051.5389618975187
58,2206.023337125611
59,2851.9817548558026
60,2321.214703016327
61,2293.5350138002964
62,2797.3476208731663
63,2365.2659459562055
64,2734.945516367305
65,2890.0922639636938
66,2522.7839132492986
67,2606.011186250931
68,2356.061235093907
69,2658.442810913934
70,1637.2173120819746
71,2171.9940339515506
72,2704.087699826352
73,2105.813340559271
74,2746.0854118396937
75,3071.7233636371957
76,2065.9889576947203
77,2186.6895143350275
78,3227.955555032307
79,2644.430905148097
80,2957.6604848702127
81,2583.5055560036953
82,3296.2052629179857
83,2334.372815340677
84,2352.720574068814
85,2312.721345096563
86,3206.51740734177
87,2249.7952045756033
88,1981.7895278692781
89,2415.5712406786733
90,2716.990840586441
91,2458.237882687887
92,2597.8105495851464
93,1962.4205626699597
94,3880.361836929605
95,2471.176261071969
96,2703.3192786852987
97,2137.617058795477
98,2591.0818439879877
99,2433.3394712005543
100,2840.7099740395197
101,3096.881621260145
102,2862.5831078317947
103,3421.4547612504025
104,2288.780780228761
105,4224.446492308009
106,1839.6306687976114
107,2169.175732141694
108,3026.672532547122
109,2436.5288789567708
110,1624.519242258016
111,2105.1869966393456
112,3812.886291475947
113,2284.1855658012505
114,1992.5247960352585
115,1989.5560184404349
116,2093.4261837682516
117,2408.7700325488636
118,2487.8776365250437
119,2071.5353867952263
120,3272.3217250911916
121,2670.2595520102923
122,4058.9893149248437
123,2651.867790064386
124,2455.351236507947
125,3068.610721381397
126,2433.2417615720415
127,1950.1333407325153
